iri_key,week,units,dollars,f,d,upc,price,year,MARKET,CHAIN,store_type,L4,L5,VOL_EQ,PRODUCT TYPE,PACKAGE,FLAVOR/SCENT,CALORIE LEVEL,total_rev_carbbev
264242,1583,219,293.05,NONE,2,14900000551,1.338127854,2010,BOSTON,139,GROC,COCA COLA CO,SPRITE,0.3521,SODA,BOTTLE,LEMON LIME,REGULAR,14383.65
264242,1583,38,50.72,NONE,0,14900003724,1.334736842,2010,BOSTON,139,GROC,COCA COLA CO,SPRITE ZERO,0.3521,SODA,BOTTLE,LEMON LIME,DIET,14383.65
264242,1583,29,38.73,NONE,0,17800014846,1.335517241,2010,BOSTON,139,GROC,DR PEPPER/SNAPPLE GROUP,CANADA DRY,0.3521,SODA,BOTTLE,GINGER ALE,DIET,14383.65
264242,1583,136,182.06,NONE,0,17800015246,1.338676471,2010,BOSTON,139,GROC,DR PEPPER/SNAPPLE GROUP,CANADA DRY,0.3521,SODA,BOTTLE,GINGER ALE,REGULAR,14383.65
264242,1583,59,59.69,NONE,0,17800020646,1.011694915,2010,BOSTON,139,GROC,DR PEPPER/SNAPPLE GROUP,SCHWEPPES,0.3521,SODA,BOTTLE,GINGER ALE,REGULAR,14383.65
264242,1583,41,41,NONE,0,17800020746,1,2010,BOSTON,139,GROC,DR PEPPER/SNAPPLE GROUP,DIET SCHWEPPES,0.3521,SODA,BOTTLE,GINGER ALE,DIET,14383.65
264242,1583,35,59.15,NONE,0,11200000233,1.69,2010,BOSTON,139,GROC,PEPSICO INC,MOUNTAIN DEW,0.3521,SODA,BOTTLE,CITRUS DEW,REGULAR,14383.65
264242,1583,15,25.35,NONE,0,11200000746,1.69,2010,BOSTON,139,GROC,PEPSICO INC,DIET MOUNTAIN DEW,0.3521,SODA,BOTTLE,DEW,DIET,14383.65
264242,1583,12,12,NONE,0,21200000237,1,2010,BOSTON,139,GROC,PEPSICO INC,SIERRA MIST,0.3521,SODA,BOTTLE,LEMON LIME,REGULAR,14383.65
264242,1583,8,8,NONE,0,21200020123,1,2010,BOSTON,139,GROC,PEPSICO INC,DIET SIERRA MIST,0.3521,SODA,BOTTLE,LEMON LIME,DIET,14383.65
264242,1583,38,33.82,NONE,0,8.805E+13,0.89,2010,BOSTON,139,GROC,PRIVATE LABEL,PRIVATE LABEL,0.3521,SODA,BOTTLE,LEMON LIME,REGULAR,14383.65
264242,1583,26,23.14,NONE,0,8.805E+13,0.89,2010,BOSTON,139,GROC,PRIVATE LABEL,PRIVATE LABEL,0.3521,SODA,BOTTLE,LEMON LIME,REGULAR,14383.65
264242,1583,56,49.84,NONE,0,8.805E+13,0.89,2010,BOSTON,139,GROC,PRIVATE LABEL,PRIVATE LABEL,0.3521,SODA,BOTTLE,GINGER ALE,REGULAR,14383.65
264242,1583,35,31.15,NONE,0,8.805E+13,0.89,2010,BOSTON,139,GROC,PRIVATE LABEL,PRIVATE LABEL,0.3521,SODA,BOTTLE,LEMON LIME,DIET,14383.65
264242,1583,14,12.46,NONE,0,8.805E+13,0.89,2010,BOSTON,139,GROC,PRIVATE LABEL,PRIVATE LABEL,0.3521,SODA,BOTTLE,LEMON LIME,DIET,14383.65
264242,1583,43,38.27,NONE,0,8.805E+13,0.89,2010,BOSTON,139,GROC,PRIVATE LABEL,PRIVATE LABEL,0.3521,SODA,BOTTLE,GINGER ALE,DIET,14383.65
264242,1584,29,49.01,NONE,0,14900000551,1.69,2010,BOSTON,139,GROC,COCA COLA CO,SPRITE,0.3521,SODA,BOTTLE,LEMON LIME,REGULAR,13723.83
264242,1584,30,50.7,NONE,0,14900003724,1.69,2010,BOSTON,139,GROC,COCA COLA CO,SPRITE ZERO,0.3521,SODA,BOTTLE,LEMON LIME,DIET,13723.83
264242,1584,21,35.49,NONE,0,17800014846,1.69,2010,BOSTON,139,GROC,DR PEPPER/SNAPPLE GROUP,CANADA DRY,0.3521,SODA,BOTTLE,GINGER ALE,DIET,13723.83
264242,1584,60,101.4,NONE,0,17800015246,1.69,2010,BOSTON,139,GROC,DR PEPPER/SNAPPLE GROUP,CANADA DRY,0.3521,SODA,BOTTLE,GINGER ALE,REGULAR,13723.83
264242,1584,164,164,NONE,0,17800020646,1,2010,BOSTON,139,GROC,DR PEPPER/SNAPPLE GROUP,SCHWEPPES,0.3521,SODA,BOTTLE,GINGER ALE,REGULAR,13723.83
264242,1584,81,81,NONE,0,17800020746,1,2010,BOSTON,139,GROC,DR PEPPER/SNAPPLE GROUP,DIET SCHWEPPES,0.3521,SODA,BOTTLE,GINGER ALE,DIET,13723.83
264242,1584,340,342.07,NONE,0,11200000233,1.006088235,2010,BOSTON,139,GROC,PEPSICO INC,MOUNTAIN DEW,0.3521,SODA,BOTTLE,CITRUS DEW,REGULAR,13723.83
264242,1584,50,50.69,NONE,0,11200000746,1.0138,2010,BOSTON,139,GROC,PEPSICO INC,DIET MOUNTAIN DEW,0.3521,SODA,BOTTLE,DEW,DIET,13723.83
264242,1584,199,199,NONE,0,21200000237,1,2010,BOSTON,139,GROC,PEPSICO INC,SIERRA MIST,0.3521,SODA,BOTTLE,LEMON LIME,REGULAR,13723.83
264242,1584,54,54,NONE,0,21200020123,1,2010,BOSTON,139,GROC,PEPSICO INC,DIET SIERRA MIST,0.3521,SODA,BOTTLE,LEMON LIME,DIET,13723.83
264242,1584,30,26.7,NONE,0,8.805E+13,0.89,2010,BOSTON,139,GROC,PRIVATE LABEL,PRIVATE LABEL,0.3521,SODA,BOTTLE,LEMON LIME,REGULAR,13723.83
264242,1584,10,8.9,NONE,0,8.805E+13,0.89,2010,BOSTON,139,GROC,PRIVATE LABEL,PRIVATE LABEL,0.3521,SODA,BOTTLE,LEMON LIME,REGULAR,13723.83
264242,1584,70,62.3,NONE,2,8.805E+13,0.89,2010,BOSTON,139,GROC,PRIVATE LABEL,PRIVATE LABEL,0.3521,SODA,BOTTLE,GINGER ALE,REGULAR,13723.83
264242,1584,28,24.92,NONE,0,8.805E+13,0.89,2010,BOSTON,139,GROC,PRIVATE LABEL,PRIVATE LABEL,0.3521,SODA,BOTTLE,LEMON LIME,DIET,13723.83
264242,1584,14,12.46,NONE,0,8.805E+13,0.89,2010,BOSTON,139,GROC,PRIVATE LABEL,PRIVATE LABEL,0.3521,SODA,BOTTLE,LEMON LIME,DIET,13723.83
264242,1584,64,56.96,NONE,1,8.805E+13,0.89,2010,BOSTON,139,GROC,PRIVATE LABEL,PRIVATE LABEL,0.3521,SODA,BOTTLE,GINGER ALE,DIET,13723.83
264242,1585,121,161.06,NONE,0,14900000551,1.33107438,2010,BOSTON,139,GROC,COCA COLA CO,SPRITE,0.3521,SODA,BOTTLE,LEMON LIME,REGULAR,13386.2
264242,1585,62,82.54,NONE,0,14900003724,1.331290323,2010,BOSTON,139,GROC,COCA COLA CO,SPRITE ZERO,0.3521,SODA,BOTTLE,LEMON LIME,DIET,13386.2
264242,1585,27,36.09,NONE,0,17800014846,1.336666667,2010,BOSTON,139,GROC,DR PEPPER/SNAPPLE GROUP,CANADA DRY,0.3521,SODA,BOTTLE,GINGER ALE,DIET,13386.2
264242,1585,89,118.52,NONE,0,17800015246,1.331685393,2010,BOSTON,139,GROC,DR PEPPER/SNAPPLE GROUP,CANADA DRY,0.3521,SODA,BOTTLE,GINGER ALE,REGULAR,13386.2
264242,1585,24,40.56,NONE,0,17800020646,1.69,2010,BOSTON,139,GROC,DR PEPPER/SNAPPLE GROUP,SCHWEPPES,0.3521,SODA,BOTTLE,GINGER ALE,REGULAR,13386.2
264242,1585,20,33.8,NONE,0,17800020746,1.69,2010,BOSTON,139,GROC,DR PEPPER/SNAPPLE GROUP,DIET SCHWEPPES,0.3521,SODA,BOTTLE,GINGER ALE,DIET,13386.2
264242,1585,47,79.43,NONE,0,11200000233,1.69,2010,BOSTON,139,GROC,PEPSICO INC,MOUNTAIN DEW,0.3521,SODA,BOTTLE,CITRUS DEW,REGULAR,13386.2
264242,1585,9,15.21,NONE,0,11200000746,1.69,2010,BOSTON,139,GROC,PEPSICO INC,DIET MOUNTAIN DEW,0.3521,SODA,BOTTLE,DEW,DIET,13386.2
264242,1585,16,27.04,NONE,0,21200000237,1.69,2010,BOSTON,139,GROC,PEPSICO INC,SIERRA MIST,0.3521,SODA,BOTTLE,LEMON LIME,REGULAR,13386.2
264242,1585,5,8.45,NONE,0,21200020123,1.69,2010,BOSTON,139,GROC,PEPSICO INC,DIET SIERRA MIST,0.3521,SODA,BOTTLE,LEMON LIME,DIET,13386.2
264242,1585,57,45.03,NONE,0,8.805E+13,0.79,2010,BOSTON,139,GROC,PRIVATE LABEL,PRIVATE LABEL,0.3521,SODA,BOTTLE,LEMON LIME,REGULAR,13386.2
264242,1585,23,18.17,NONE,0,8.805E+13,0.79,2010,BOSTON,139,GROC,PRIVATE LABEL,PRIVATE LABEL,0.3521,SODA,BOTTLE,LEMON LIME,REGULAR,13386.2
264242,1585,121,95.69,NONE,2,8.805E+13,0.790826446,2010,BOSTON,139,GROC,PRIVATE LABEL,PRIVATE LABEL,0.3521,SODA,BOTTLE,GINGER ALE,REGULAR,13386.2
264242,1585,43,33.97,NONE,0,8.805E+13,0.79,2010,BOSTON,139,GROC,PRIVATE LABEL,PRIVATE LABEL,0.3521,SODA,BOTTLE,LEMON LIME,DIET,13386.2
264242,1585,18,14.32,NONE,0,8.805E+13,0.795555556,2010,BOSTON,139,GROC,PRIVATE LABEL,PRIVATE LABEL,0.3521,SODA,BOTTLE,LEMON LIME,DIET,13386.2
264242,1585,66,52.14,NONE,1,8.805E+13,0.79,2010,BOSTON,139,GROC,PRIVATE LABEL,PRIVATE LABEL,0.3521,SODA,BOTTLE,GINGER ALE,DIET,13386.2
264242,1586,51,86.19,NONE,0,14900000551,1.69,2010,BOSTON,139,GROC,COCA COLA CO,SPRITE,0.3521,SODA,BOTTLE,LEMON LIME,REGULAR,13964.44
