IRI Week,Calendar week starting on,Calendar week ending on,,Calendar date,IRI Week
1479,"December 31, 2007","January 6, 2008",,"September 3, 1979",1
1480,"January 7, 2008","January 13, 2008",,,
1481,"January 14, 2008","January 20, 2008",,,
1482,"January 21, 2008","January 27, 2008",,,
1483,"January 28, 2008","February 3, 2008",,,
1484,"February 4, 2008","February 10, 2008",,,
1485,"February 11, 2008","February 17, 2008",,,
1486,"February 18, 2008","February 24, 2008",,,
1487,"February 25, 2008","March 2, 2008",,,
1488,"March 3, 2008","March 9, 2008",,,
1489,"March 10, 2008","March 16, 2008",,,
1490,"March 17, 2008","March 23, 2008",,,
1491,"March 24, 2008","March 30, 2008",,,
1492,"March 31, 2008","April 6, 2008",,,
1493,"April 7, 2008","April 13, 2008",,,
1494,"April 14, 2008","April 20, 2008",,,
1495,"April 21, 2008","April 27, 2008",,,
1496,"April 28, 2008","May 4, 2008",,,
1497,"May 5, 2008","May 11, 2008",,,
1498,"May 12, 2008","May 18, 2008",,,
1499,"May 19, 2008","May 25, 2008",,,
1500,"May 26, 2008","June 1, 2008",,,
1501,"June 2, 2008","June 8, 2008",,,
1502,"June 9, 2008","June 15, 2008",,,
1503,"June 16, 2008","June 22, 2008",,,
1504,"June 23, 2008","June 29, 2008",,,
1505,"June 30, 2008","July 6, 2008",,,
1506,"July 7, 2008","July 13, 2008",,,
1507,"July 14, 2008","July 20, 2008",,,
1508,"July 21, 2008","July 27, 2008",,,
1509,"July 28, 2008","August 3, 2008",,,
1510,"August 4, 2008","August 10, 2008",,,
1511,"August 11, 2008","August 17, 2008",,,
1512,"August 18, 2008","August 24, 2008",,,
1513,"August 25, 2008","August 31, 2008",,,
1514,"September 1, 2008","September 7, 2008",,,
1515,"September 8, 2008","September 14, 2008",,,
1516,"September 15, 2008","September 21, 2008",,,
1517,"September 22, 2008","September 28, 2008",,,
1518,"September 29, 2008","October 5, 2008",,,
1519,"October 6, 2008","October 12, 2008",,,
1520,"October 13, 2008","October 19, 2008",,,
1521,"October 20, 2008","October 26, 2008",,,
1522,"October 27, 2008","November 2, 2008",,,
1523,"November 3, 2008","November 9, 2008",,,
1524,"November 10, 2008","November 16, 2008",,,
1525,"November 17, 2008","November 23, 2008",,,
1526,"November 24, 2008","November 30, 2008",,,
1527,"December 1, 2008","December 7, 2008",,,
1528,"December 8, 2008","December 14, 2008",,,
1529,"December 15, 2008","December 21, 2008",,,
