CHAIN,store_type,year,week,L4,L5,VOL_EQ,PACKAGE,units,price,display_minor,display_major,feature_small,feature_medium,feature_large,coupon
161,GROC,2008,1479,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,2503,1.689045146,0.086695965,0.422692769,0,0,0,0
161,GROC,2008,1480,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,1447,1.680697996,0.078092605,0.486523842,0,0,0,0
161,GROC,2008,1481,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,2617,1.39,0.100878869,0.547573558,0,0,0,0
161,GROC,2008,1482,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,1581,1.667938014,0.086654016,0.55028463,0,0,0,0
161,GROC,2008,1483,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,5921,1.248900524,0.077520689,0.66661037,0,1,0,0
161,GROC,2008,1484,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,1817,1.671254816,0.067143643,0.459548707,0,0,0,0
161,GROC,2008,1485,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,5277,1.248152359,0,0.78586318,0,1,0,0
161,GROC,2008,1486,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,1560,1.678935897,0.088461538,0.494871795,0,0,0,0
161,GROC,2008,1487,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,4785,1.25,0.089655172,0.532915361,0,0,1,0
161,GROC,2008,1488,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,1487,1.665622058,0.07464694,0.270342972,0,0,0,0
161,GROC,2008,1489,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,8245,0.99,0.06464524,0.501637356,0,1,0,0
161,GROC,2008,1490,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,2011,1.651034311,0.090004973,0.385877673,0,0,0,0
161,GROC,2008,1491,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,4595,1.249051143,0.069205658,0.792818281,0,0.220892274,0.779107726,0
161,GROC,2008,1492,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,2048,1.685546875,0.378417969,0.279296875,0,0,0,0
161,GROC,2008,1493,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,8383,1.25,0.13253012,0.715614935,0,0,0,0
161,GROC,2008,1494,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,3131,1.662392207,0.035771319,0.810923028,0,0,0,0
161,GROC,2008,1495,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,5538,1.25,0.202780787,0.760021668,0,1,0,0
161,GROC,2008,1496,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,1881,1.490871877,0.058479532,0.636895268,0,0,0,0
161,GROC,2008,1497,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,5751,1.25,0.085898105,0.6885759,0,1,0,0
161,GROC,2008,1498,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,1864,1.491169528,0,0.481759657,0,0,0,0
161,GROC,2008,1499,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,9696,1,0.056930693,0.897586634,0,1,0,0
161,GROC,2008,1500,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,2241,1.491825078,0.080321285,0.683623382,0,0,0,0
161,GROC,2008,1501,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,8892,1,0.055780477,0.910368871,0,1,0,0
161,GROC,2008,1502,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,1980,1.490277778,0.074242424,0.512626263,0,0,0,0
161,GROC,2008,1503,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,5055,1.249372898,0.072205737,0.661523244,0,1,0,0
161,GROC,2008,1504,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,1759,1.495508812,0.089823764,0.504263786,0,0,0,0
161,GROC,2008,1505,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,6231,1.24854919,0.079281014,0.743861338,0,1,0,0
161,GROC,2008,1506,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,1484,1.5,0.091644205,0.491239892,0,0,0,0
161,GROC,2008,1507,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,1586,1.500510719,0.085119798,0.51261034,0,0,0,0
161,GROC,2008,1508,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,3473,1.33,0.065649295,0.63057875,0,1,0,0
161,GROC,2008,1509,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,1716,1.490314685,0.078088578,0.404428904,0,0,0,0
161,GROC,2008,1510,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,4521,1.25,0.084052201,0.452554745,0,1,0,0
161,GROC,2008,1511,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,1761,1.493685406,0.073821692,0.540034072,0,0,0,0
161,GROC,2008,1512,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,4273,1.25,0,0.67423356,0,1,0,0
161,GROC,2008,1513,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,1743,1.492880092,0.084911073,0.510040161,0,0,0,0
161,GROC,2008,1514,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,4663,1.33,0.069268711,0.74758739,0,1,0,0
161,GROC,2008,1515,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,1689,1.495210184,0.079336886,0.494967436,0,0,0,0
161,GROC,2008,1516,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,4232,1.33,0.069706994,0.809782609,0,1,0,0
161,GROC,2008,1517,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,2001,1.502553723,0.067966017,0.515242379,0,0,0,0
161,GROC,2008,1518,COCA COLA CO,COKE CLASSIC,0.3521,BOTTLE,2673,1.5,0.081930415,0.502057613,0,1,0,0
